조사년도,해역,연안명칭,수온 표층,수온 저층,염분 표층,염분 저층,수소이온농도 표층,수소이온농도 저층,용존산소량 표층,용존산소량 저층,화학적산소요구량 표층,화학적산소요구량 저층,암모니아질소 표층,암모니아질소 저층,아질산성 질소 표층,아질산성 질소 저층,질산성질소 표층,질산성질소 저층,용존무기질소 표층,용존무기질소 저층,총질소 표층,총질소 저층,용존무기인 표층,용존무기인 저층,총인 표층,총인 저층,규산규소 표층,규산규소 저층,부유물질 표층,부유물질 저층,클로필드 표층,클로필드 저층,투명도 표층
2017,남해,제주항,15.81,15.64,30.4,31.53,8.13,8.11,8.59,8.09,1.66,1.81,10.98,23.7,12.35,12.31,150.33,106.78,173.67,142.79,331.23,259.19,10.1,13.44,27.93,22.5,469.42,421.96,15.84,20.71,1.13,1.84,1.55
2017,남해,성산항,16.45,15.87,30.08,31.16,8.27,8.24,9.33,9.34,1.79,1.65,35.92,15.83,5.96,4.1,188.43,108.14,230.3,128.07,307.86,314.74,8.28,8.51,27.16,33.11,704.66,418.59,9.55,16.03,1.51,4.48,1.55
2017,남해,서귀포항,14.87,14.83,30.72,30.77,8.08,8.1,8.24,8.3,1.56,1.56,39.29,30.89,9.73,10.47,196.51,200.62,245.53,241.98,373.98,452.85,19.34,27.85,36.37,36.23,422.51,388.82,13.5,17.25,0.92,1.22,1.55
2017,남해,한림항,17.88,16.6,30.47,31.44,8.09,8.12,8.29,8.3,1.64,1.57,8.1,9.15,11.63,3.35,292.45,129.3,312.18,141.8,694.19,397.15,15.19,11.52,43.01,29.24,339.11,375.71,6.43,9.88,0.34,0.42,4
2017,남해,완도항,21.25,21.28,31.69,31.94,8.08,8.2,8.21,7.75,1.1,1.47,9.5,5.71,6.8,1.83,274.95,61.61,291.26,69.15,311.09,194.28,38.26,4.62,57.15,14.29,1850.3,385.91,1.9,4.2,0.11,0.45,4.95
2017,서해,목포항,20.67,20.62,31.62,32.29,8.22,8.22,8.44,8.37,1.41,1.47,7.5,9.63,4.88,2.58,149.28,114.22,161.67,126.43,237.1,284.95,10.16,7.66,18.49,17.16,760.34,495.78,3.86,2.63,1.22,1.73,4.15
2017,서해,대천항,21.18,21.14,32.01,32.42,8.17,8.17,7.74,7.72,1.69,1.76,9.32,9.9,6.13,1.95,126.01,143.72,141.46,155.57,416.22,311.43,12.47,7.63,32.24,19.63,1490.79,528.89,2.95,2.15,3.64,3.27,3.4
2017,서해,평택항,19.42,18.63,31.99,32.9,8.18,8.15,8.34,7.97,1.46,1.43,8.39,7.52,8.29,1.32,285.27,24.62,301.95,33.46,326.06,215.24,18.66,6.29,27.89,15.66,429.14,106.9,3.55,3.6,1.61,0.16,4.95
2017,서해,인천항,19.52,18.88,32.07,32.7,8.15,8.16,8,7.81,1.52,1.63,7.78,8.22,5.77,2.42,243.56,182.08,257.1,192.71,343.99,374.49,19.13,8.15,28.48,16.69,374.39,148.2,3.69,2.93,1.01,0.51,3.8
2017,동해,동해중부,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,동해,동해남부,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,남해,남해동부,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,남해,남해서부,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,서해,서해남부,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,서해,서해중부,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,서해,섬진강,17.13,17.25,22.47,26.92,8.02,8.05,8.81,8.23,2.11,2.31,21.08,20.44,8.68,7.79,308.08,247.47,337.85,275.69,592.43,434.09,20.03,23.48,35.29,35.56,918.32,853.82,6.49,11.5,3.7,2.61,2.23
2017,서해,낙동강하구,17.61,17.42,22.09,30.12,8.15,8.15,8.85,7.75,2.52,2.51,32.54,30.91,34.55,17.4,491.7,309.99,558.8,358.29,971.04,575.46,11.85,19.27,32.81,37.27,610.45,483.66,7.4,10.61,2.52,2.96,2.37
2017,연안,진해만,17.73,16.08,31.82,32.56,8.17,8.07,8.45,7.01,1.83,1.84,8.39,10.74,3.25,4.67,11.92,12.52,23.56,27.92,160.63,155.38,11.25,12.44,21.59,21.99,288.56,457.36,5.86,6.73,1.94,2.12,5.37
2017,특별관리,진해만,17.08,15.5,32.03,33.05,8.23,8.16,8.4,7.52,1.9,1.59,61.85,38.16,5.9,6.38,36.15,49.52,103.89,94.07,229.22,230,11.38,12.9,20.43,24.95,323.45,311.48,5.34,9.55,1.78,1.64,4.08
